Crime_ID,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
32,14066677,JJ535756,12/26/2025 11:08:00 PM,041XX W WEST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1114,11.0,28.0,26.0,08B,1148819.0,1900653.0,2025,01/03/2026 03:41:35 PM,41.883324876,-87.728987402,"(41.883324876, -87.728987402)"
33,14068026,JJ537467,12/26/2025 11:00:00 PM,084XX S MACKINAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,424,4.0,10.0,46.0,14,1199938.0,1849617.0,2025,01/03/2026 03:41:35 PM,41.742139003,-87.543002083,"(41.742139003, -87.543002083)"
34,14067105,JJ536331,12/26/2025 11:00:00 PM,072XX S LANGLEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,323,3.0,6.0,69.0,07,1182146.0,1857231.0,2025,01/03/2026 03:41:35 PM,41.763462539,-87.607955665,"(41.763462539, -87.607955665)"
35,14066765,JJ535773,12/26/2025 10:55:00 PM,078XX S PAULINA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,611,6.0,17.0,71.0,08B,1166372.0,1852752.0,2025,01/03/2026 03:41:35 PM,41.751522022,-87.665897874,"(41.751522022, -87.665897874)"
36,14066912,JJ535987,12/26/2025 10:50:00 PM,037XX W 79TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,834,8.0,18.0,70.0,07,1152848.0,1851928.0,2025,01/03/2026 03:41:35 PM,41.749538031,-87.715479035,"(41.749538031, -87.715479035)"
37,14066707,JJ535743,12/26/2025 10:49:00 PM,042XX W MADISON ST,0460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,False,False,1115,11.0,28.0,26.0,08B,1148091.0,1899675.0,2025,01/03/2026 03:41:35 PM,41.880655171,-87.731685867,"(41.880655171, -87.731685867)"
38,14067375,JJ536186,12/26/2025 10:45:00 PM,008XX W HUBBARD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1214,12.0,27.0,24.0,14,1170845.0,1903281.0,2025,01/03/2026 03:41:35 PM,41.890082162,-87.648029618,"(41.890082162, -87.648029618)"
39,14066694,JJ535750,12/26/2025 10:40:00 PM,054XX W WAVELAND AVE,0560,ASSAULT,SIMPLE,STREET,False,False,1633,16.0,30.0,15.0,08A,1139272.0,1924063.0,2025,01/03/2026 03:41:35 PM,41.9477437,-87.763473894,"(41.9477437, -87.763473894)"
40,14066722,JJ535744,12/26/2025 10:40:00 PM,068XX S KOSTNER AVE,041A,BATTERY,AGGRAVATED - HANDGUN,ALLEY,False,False,833,8.0,23.0,65.0,04B,1148222.0,1858833.0,2025,01/03/2026 03:41:35 PM,41.768576449,-87.732254043,"(41.768576449, -87.732254043)"
41,14066682,JJ535754,12/26/2025 10:31:00 PM,007XX N LAWNDALE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,1112,11.0,27.0,23.0,15,1151588.0,1904639.0,2025,01/03/2026 03:41:35 PM,41.894208913,-87.718714538,"(41.894208913, -87.718714538)"
42,14068007,JJ537264,12/26/2025 10:30:00 PM,018XX W 107TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,2212,22.0,19.0,72.0,14,1165895.0,1833711.0,2025,01/03/2026 03:41:35 PM,41.699280716,-87.668185009,"(41.699280716, -87.668185009)"
43,28992,JJ535721,12/26/2025 10:30:00 PM,004XX E 72ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,323,3.0,6.0,69.0,01A,1180590.0,1857382.0,2025,01/03/2026 03:41:35 PM,41.763912764,-87.613654037,"(41.763912764, -87.613654037)"
44,14067266,JJ536292,12/26/2025 10:30:00 PM,007XX N LAWNDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1112,11.0,27.0,23.0,07,1151583.0,1904783.0,2025,01/03/2026 03:41:35 PM,41.894604162,-87.718729113,"(41.894604162, -87.718729113)"
45,14068128,JJ537052,12/26/2025 10:25:00 PM,034XX W BERTEAU AVE,0810,THEFT,OVER $500,SIDEWALK,False,False,1723,17.0,33.0,16.0,06,1152501.0,1927700.0,2025,01/03/2026 03:41:35 PM,41.957472234,-87.714750349,"(41.957472234, -87.714750349)"
46,14066666,JJ535742,12/26/2025 10:22:00 PM,052XX S HONORE ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,932,9.0,16.0,61.0,15,1164906.0,1869879.0,2025,01/03/2026 03:41:35 PM,41.79855186,-87.670786551,"(41.79855186, -87.670786551)"
47,14067279,JJ535737,12/26/2025 10:14:00 PM,049XX S PRAIRIE AVE,0810,THEFT,OVER $500,RESIDENCE,False,True,224,2.0,3.0,38.0,06,1178876.0,1872367.0,2025,01/03/2026 03:41:35 PM,41.805072258,-87.619480201,"(41.805072258, -87.619480201)"
48,14066848,JJ535918,12/26/2025 10:10:00 PM,070XX N SHERIDAN RD,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,2423,24.0,49.0,1.0,07,1166635.0,1946821.0,2025,01/03/2026 03:41:35 PM,42.009649067,-87.662238542,"(42.009649067, -87.662238542)"
49,14066662,JJ535736,12/26/2025 10:10:00 PM,050XX W WASHINGTON BLVD,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,1532,15.0,28.0,25.0,04B,1142752.0,1900033.0,2025,01/03/2026 03:41:35 PM,41.881738601,-87.751281527,"(41.881738601, -87.751281527)"
50,14071991,JK101371,12/26/2025 10:01:00 PM,076XX W ARDMORE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1612,16.0,41.0,10.0,26,,,2025,01/03/2026 03:41:35 PM,,,
51,14066664,JJ535747,12/26/2025 10:00:00 PM,013XX W 82ND ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",SIDEWALK,False,True,613,6.0,17.0,71.0,04B,1168663.0,1850385.0,2025,01/03/2026 03:41:35 PM,41.744977571,-87.657570565,"(41.744977571, -87.657570565)"
52,14067140,JJ536388,12/26/2025 10:00:00 PM,026XX N HERMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),False,False,1931,19.0,32.0,7.0,07,1164195.0,1917726.0,2025,01/03/2026 03:41:35 PM,41.929863375,-87.67204235,"(41.929863375, -87.67204235)"
53,14066914,JJ536094,12/26/2025 10:00:00 PM,074XX S MAY ST,0810,THEFT,OVER $500,RESIDENCE,False,False,733,7.0,17.0,68.0,06,1169937.0,1855591.0,2025,01/03/2026 03:41:35 PM,41.759235979,-87.652751544,"(41.759235979, -87.652751544)"
54,14067255,JJ536556,12/26/2025 10:00:00 PM,034XX N SEELEY AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1921,19.0,32.0,5.0,07,1162078.0,1922785.0,2025,01/03/2026 03:41:35 PM,41.943790114,-87.679680005,"(41.943790114, -87.679680005)"
55,14066750,JJ535831,12/26/2025 10:00:00 PM,046XX N SHERIDAN RD,0460,BATTERY,SIMPLE,APARTMENT,False,False,1914,19.0,46.0,3.0,08B,1168782.0,1931169.0,2025,01/03/2026 03:41:35 PM,41.966653193,-87.654795347,"(41.966653193, -87.654795347)"
56,14066896,JJ536043,12/26/2025 10:00:00 PM,096XX S WINCHESTER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2213,22.0,19.0,72.0,07,1165159.0,1840714.0,2025,01/03/2026 03:41:35 PM,41.718513663,-87.670682598,"(41.718513663, -87.670682598)"
57,14066949,JJ535928,12/26/2025 10:00:00 PM,030XX W DIVERSEY AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1411,14.0,35.0,21.0,05,1155420.0,1918456.0,2025,01/03/2026 03:41:35 PM,41.932047739,-87.704268531,"(41.932047739, -87.704268531)"
58,14067109,JJ536213,12/26/2025 10:00:00 PM,040XX S LAKE PARK AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,214,2.0,4.0,36.0,07,1183624.0,1878499.0,2025,01/03/2026 03:41:35 PM,41.821789385,-87.601875318,"(41.821789385, -87.601875318)"
59,14067036,JJ536188,12/26/2025 10:00:00 PM,008XX N FRANKLIN ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1823,18.0,27.0,8.0,06,1174162.0,1906383.0,2025,01/03/2026 03:41:35 PM,41.898520881,-87.635755582,"(41.898520881, -87.635755582)"
60,14067299,JJ536171,12/26/2025 10:00:00 PM,037XX W 82ND ST,0820,THEFT,$500 AND UNDER,STREET,False,False,834,8.0,18.0,70.0,06,1152821.0,1849949.0,2025,01/03/2026 03:41:35 PM,41.744107851,-87.715630035,"(41.744107851, -87.715630035)"
61,14066726,JJ535723,12/26/2025 10:00:00 PM,091XX S WABASH AVE,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,False,False,634,6.0,6.0,49.0,03,1178319.0,1844289.0,2025,01/03/2026 03:41:35 PM,41.728035862,-87.62237421,"(41.728035862, -87.62237421)"
62,14066916,JJ535971,12/26/2025 10:00:00 PM,043XX S WOOD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,924,9.0,15.0,61.0,14,1165074.0,1875910.0,2025,01/03/2026 03:41:35 PM,41.815098073,-87.66999976,"(41.815098073, -87.66999976)"
63,14066733,JJ535761,12/26/2025 09:54:00 PM,064XX S WHIPPLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,823,8.0,15.0,66.0,15,1157159.0,1861760.0,2025,01/03/2026 03:41:35 PM,41.776432515,-87.699416094,"(41.776432515, -87.699416094)"
64,14066644,JJ535724,12/26/2025 09:52:00 PM,002XX W 63RD ST,0460,BATTERY,SIMPLE,GAS STATION,False,False,722,7.0,20.0,68.0,08B,1175510.0,1863188.0,2025,01/03/2026 03:41:35 PM,41.779960201,-87.632099778,"(41.779960201, -87.632099778)"
65,14066636,JJ535708,12/26/2025 09:47:00 PM,101XX S LOWE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,2232,22.0,21.0,73.0,07,1173758.0,1837737.0,2025,01/03/2026 03:41:35 PM,41.71015841,-87.639275431,"(41.71015841, -87.639275431)"
66,14067080,JJ535713,12/26/2025 09:45:00 PM,003XX E BENTON PL,0560,ASSAULT,SIMPLE,DEPARTMENT STORE,False,False,114,1.0,42.0,32.0,08A,1178860.0,1901675.0,2025,01/03/2026 03:41:35 PM,41.885495793,-87.618644375,"(41.885495793, -87.618644375)"
67,14071136,JK100454,12/26/2025 09:45:00 PM,005XX N KINGSBURY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1831,18.0,42.0,8.0,07,,,2025,01/03/2026 03:41:35 PM,,,
68,14066638,JJ535717,12/26/2025 09:39:00 PM,065XX W CLARENCE AVE,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,RESIDENCE,True,False,1611,16.0,45.0,10.0,26,1131883.0,1941098.0,2025,01/03/2026 03:41:35 PM,41.994621017,-87.790237635,"(41.994621017, -87.790237635)"
69,14066635,JJ535710,12/26/2025 09:37:00 PM,054XX W CHICAGO AVE,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,False,False,1524,15.0,37.0,25.0,18,1140045.0,1904806.0,2025,01/03/2026 03:41:35 PM,41.894886258,-87.761104826,"(41.894886258, -87.761104826)"
70,14067101,JJ535703,12/26/2025 09:34:00 PM,029XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,133,1.0,4.0,35.0,08B,1179394.0,1885524.0,2025,01/03/2026 03:41:35 PM,41.841164277,-87.6171782,"(41.841164277, -87.6171782)"
71,14066643,JJ535701,12/26/2025 09:30:00 PM,083XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SMALL RETAIL STORE,False,True,614,6.0,18.0,71.0,08B,1167123.0,1849453.0,2025,01/03/2026 03:41:35 PM,41.742453079,-87.663239959,"(41.742453079, -87.663239959)"
